search_term,product_name,unit_size,price,store,date,clean_price,normalized_qty,unit_type,unit_uncertain,price_per_unit,brand_type,category
Whole Milk,"Friendly Farms Whole  Milk, 1 gal",1 gal,$3.75,Aldi,2026-02-03,3.75,128.0,oz,False,0.029297,Private,Dairy
Whole Milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-02-03,2.25,64.0,oz,False,0.035156,Private,Dairy
Whole Milk,"Friendly Farms Lactose Free Whole Milk, 64 fl oz",64 fl oz,$3.29,Aldi,2026-02-03,3.29,64.0,oz,False,0.051406,Private,Dairy
Whole Milk,"Simply Nature Kids Organic Whole Milk, 59 fl oz",59 fl oz,$5.49,Aldi,2026-02-03,5.49,59.0,oz,False,0.093051,Private,Dairy
Large Eggs (12 count),"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-02-03,4.25,12.0,count,False,0.354167,Private,Dairy
Large Eggs (12 count),"Goldhen Pasture Raised Large Brown Eggs Grade A, 12 count",12 ct,$4.35,Aldi,2026-02-03,4.35,12.0,count,False,0.3625,Private,Dairy
Salted Butter,"Countryside Creamery Salted Butter Sticks, 1 lb",16 oz,$3.29,Aldi,2026-02-03,3.29,16.0,oz,False,0.205625,National,Dairy
Salted Butter,"Simply Nature Organic Salted Butter, 16 oz",16 oz,$6.85,Aldi,2026-02-03,6.85,16.0,oz,False,0.428125,Private,Dairy
Salted Butter,"Countryside Creamery Spreadable Butter with Olive Oil and Sea Salt, 15 oz",15 oz,$4.25,Aldi,2026-02-03,4.25,15.0,oz,False,0.283333,National,Dairy
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.49/lb),$0.16,Aldi,2026-02-03,0.16,5.28,oz,False,0.030303,National,Produce
Bananas,"Organic Bananas, per lb",avg. 1 lb/piece  ($0.73/lb),$0.73,Aldi,2026-02-03,0.73,16.0,oz,False,0.045625,National,Produce
Gala Apples,"Gala Apples, 3 lb",3 lb,$1.99,Aldi,2026-02-03,1.99,48.0,oz,False,0.041458,National,Produce
Gala Apples,"Organic Gala Apples, 3 lb",3 lb,$4.75,Aldi,2026-02-03,4.75,48.0,oz,False,0.098958,National,Produce
Iceberg Lettuce,"Iceberg Lettuce, each",1 each,$2.09,Aldi,2026-02-03,2.09,1.0,count,False,2.09,National,Produce
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef, per lb",avg. 2 lb/package  ($5.29/lb),$10.58,Aldi,2026-02-03,10.58,32.0,oz,False,0.330625,National,Meat
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef Patties, 4 count",avg. 1.33 lb/package  ($5.59/lb),$7.43,Aldi,2026-02-03,7.43,21.28,oz,False,0.349154,National,Meat
Ground Beef 80/20,"Fresh  80%  Lean 20% Fat Ground Beef Patties Family Pack, 10 count",2.2 lb,$12.00,Aldi,2026-02-03,12.0,35.2,oz,False,0.340909,National,Meat
Ground Beef 80/20,"Never Any! Antibiotic Free 80% Lean Ground Pork, 16 oz",16 oz,$3.55,Aldi,2026-02-03,3.55,16.0,oz,False,0.221875,Private,Meat
Chicken Breast,Simply Nature Organic  Chicken  Breast Strips,avg. 1.25 lb/package  ($7.29/lb),$9.11,Aldi,2026-02-03,9.11,20.0,oz,False,0.4555,Private,Meat
